"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"DAYCARE",0.212560138186368,0.357332418214341,0.505851828590801,0.490305078293532,0.366153017876039,0.698702050198335,0.819885524134931,0.379828539058189,0.509745451229519,0.349803612957449,0.415493661978769,0.540004863160101,0.707135174490038,0.358631950001901,0.484192572466723,0.32517326628882,0.395793737809169,0.540004863160101,0.643052278085072
"CURBRFEED_1yr",0.070262267799339,0.900240492923741,1,0.648796091298414,0.108864301062964,1,1,0.353933194242139,0.507546075878979,0.289147508728607,0.1575349806309,0.386835004304232,0.430127325303914,0.322381564496461,0.469271673220486,0.255491805401288,0.143163040934266,0.386835004304232,0.374795428637183
"FORMULA_1yr",0.555745655639392,0.487309635082578,0.789487513273715,1,0.372784277071193,0.432605740521286,0.204612571843143,0.97582301038416,0.864512227662273,0.994930469460873,0.637447399083456,0.805604448170337,0.0853351562089949,0.960169237792352,0.925190915577164,0.925190915577164,0.588105754735258,0.805604448170337,0.0844322320045239
"Milks_1yr",0.486159088119979,0.738873993026726,0.924901299801405,0.999999999999999,0.756281049318082,0.372784277071192,0.789487513273715,0.774698743495034,0.935921193058024,0.671578112511351,0.577897548420867,0.438497977141008,0.309876566778152,0.799027524059614,0.915393398821928,0.650237444432841,0.565358226870966,0.438497977141008,0.439380122324916
"FrenchFries_1yr",0.29988868243263,0.112437268014371,0.14729429508701,0.155442035774091,0.108864301062964,0.0152200930280792,1,0.103107257369703,0.0667564286724478,0.0871669060549573,0.0573434177749374,0.0406615376166117,0.922476849800953,0.126536571956139,0.0829164495050607,0.114542121260049,0.0749028053518096,0.0406615376166116,0.900778033910945
"SweetFoodsDrinks_1yr",0.225416183748876,0.458110666871369,0.714310289588184,1,0.518547474845856,0.865210713467523,0.678503078416853,0.920649744713393,0.900859395470921,0.74829375228082,0.620608598146107,0.74607377168626,0.769647654466827,0.991270517177829,0.983590233651522,0.649440735981858,0.552482366308623,0.74607377168626,0.937161832718093
"PeanutButter_1yr",0.384452134810887,0.807878122192615,0.579366978750594,1,0.445116333668945,0.62962711262041,0.624685493301961,0.789887164152372,0.953183025343293,0.774906249622425,0.685409510704472,0.979748777581145,0.694375327837706,0.721190646196427,0.884312928461251,0.689958434085228,0.624949740922442,0.979748777581144,0.536402347897899
"FORMULA_6mo",0.244634277158898,0.236549272878346,0.281862287920707,0.472749946010548,0.965923482461592,0.358150485657611,0.664108059493838,0.506212210420794,0.288960693948106,0.715453195720201,0.982236034587747,0.886710116178866,0.870988261137238,0.53958114511158,0.313567174557861,0.760709845012423,0.982522944735859,0.886710116178866,1
"WHSTOTHER",0.831971793339865,0.519535333836659,0.422523887833856,0.726951132854029,0.5,0.202015064384893,0.073889719918136,0.664608587894213,0.688373387820395,0.779348581171668,0.752598793449273,0.572447916145434,0.148444894302627,0.638996531391467,0.66766080657983,0.746341185982347,0.715592358208615,0.572447916145434,0.0621465075601602
"VITAMIND_6mo",0.116570424212521,0.199411821983175,0.204719295735546,0.0726841707345093,0.0782481564484067,0.921392380976919,0.245552979743553,0.0749455403359203,0.173306028806592,0.112856940478475,0.151671327673038,0.549941067442766,0.178539390536054,0.0564833774599867,0.141364312466245,0.0821053256370941,0.121466403726005,0.549941067442766,0.116928739926841
"Cereals_6mo",0.44809920321593,0.587414617382937,0.605917032926349,0.45519256990313,0.539610188297732,0.605917032926349,0.221913117689067,0.829718427230858,0.822640049607254,0.649614280410294,0.609972481196175,0.530468409966584,0.362373774556031,0.768722816186991,0.766997431474698,0.581132220784981,0.557410420203078,0.530468409966584,0.292518455395773
"NegativeLifeEvents",0.629295774559976,0.417405654471094,0.301574246480904,0.670133056682044,0.182240987133505,0.531823054264161,0.366263604702083,0.862563864729847,0.994522878722181,0.981305739057677,0.46060408906924,0.629295774559976,0.153874356633714,0.830022416895685,0.962128683102578,0.974287352115409,0.440754576235257,0.629295774559976,0.176304778689628
"PositiveLifeEvents",0.0778613814665261,0.176815164897327,0.122130879034475,0.0680608480764958,0.404295953860301,0.151175491071356,0.841185133097716,0.103709250292486,0.123028087884012,0.0364266010787334,0.19404333737397,0.0778613814665261,0.877256135163194,0.11335720889787,0.132293920084055,0.0432380027565033,0.208358528553209,0.0778613814665261,0.932599668623304
"TotalLifeEvents",0.0127181710495379,0.405143307257276,0.389455381330843,0.102310346378921,0.0395826442120479,0.027677841126103,0.652144594496285,0.0473412463006008,0.0849505691620662,0.019661650494336,0.0329349155223488,0.0127181710495379,0.215253347832931,0.0486472002861955,0.0858033557653256,0.0208713513615887,0.0347646389319607,0.0127181710495378,0.270822747455254
"StateAnxiety",0.468569649395317,0.695468620727007,0.761651201210249,0.551001348247987,0.802529565445693,0.855141511722697,0.754663284082951,0.932445427912473,0.860363602987865,0.888076468431596,0.646824280066903,0.869399107572953,0.791930479558252,0.9769589825717,0.822279781862466,0.835244485480858,0.612264472243564,0.869399107572953,0.963260954584167
"TraitAnxiety",0.431982622293192,0.494306287405551,0.438899783443924,0.166291732756578,0.483471240775833,0.714148493664225,0.99573679832874,0.172397350121908,0.329920413280354,0.20568197977459,0.4035205351574,0.382545415933828,0.169554931250308,0.191253831109427,0.352462664883015,0.232283681440941,0.432626730326423,0.382545415933828,0.303822952529613
